#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000143108	5	1.01413e-06	0.708644
56.5	4.53978e-05	6.5	1.60608e-07	0.353778
71	1.3891e-05	8	4.54134e-08	0.326927
89.5	4.02777e-06	10.5	1.25447e-08	0.311455
113	1.09616e-06	13	3.34447e-09	0.305107
142	2.91388e-07	16	8.27431e-10	0.283962
179	7.30612e-08	21	1.79892e-10	0.246221
225.5	1.72081e-08	25.5	3.79744e-11	0.220678
283.5	3.89715e-09	32.5	8.07893e-12	0.207303
357	8.03659e-10	41	2.08582e-12	0.259541
449.5	1.5237e-10	51.5	4.65384e-13	0.30543
566	2.56765e-11	65	8.87246e-14	0.345548
715.5	3.6494e-12	84.5	1.43762e-14	0.393932
900	4.12412e-13	100	2.0487e-15	0.49676
