#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000229891	5	8.59345e-07	0.373805
56.5	7.27095e-05	6.5	2.36443e-07	0.325189
71	2.20706e-05	8	6.59765e-08	0.298934
89.5	6.42029e-06	10.5	1.79886e-08	0.280183
113	1.75277e-06	13	4.93902e-09	0.281783
142	4.69274e-07	16	1.23988e-09	0.264213
179	1.18582e-07	21	2.7349e-10	0.230634
225.5	2.81522e-08	25.5	5.83374e-11	0.207221
283.5	6.40512e-09	32.5	1.22296e-11	0.190934
357	1.33598e-09	41	3.058e-12	0.228895
449.5	2.52212e-10	51.5	6.53404e-13	0.25907
566	4.15302e-11	65	1.24937e-13	0.300835
715.5	5.53115e-12	84.5	1.85453e-14	0.335288
900	5.5175e-13	100	2.02209e-15	0.366487
