#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000243501	5	2.55139e-06	1.04779
56.5	7.94185e-05	6.5	7.07601e-07	0.890978
71	2.52417e-05	8	2.06933e-07	0.819805
89.5	7.68261e-06	10.5	5.75263e-08	0.748785
113	2.23941e-06	13	1.69038e-08	0.754831
142	6.42761e-07	16	4.38131e-09	0.681639
179	1.75898e-07	21	9.95718e-10	0.566078
225.5	4.6252e-08	25.5	2.31484e-10	0.500483
283.5	1.16694e-08	32.5	5.0598e-11	0.433594
357	2.73414e-09	41	1.27241e-11	0.46538
449.5	5.89669e-10	51.5	2.99334e-12	0.507631
566	1.11486e-10	65	6.25269e-13	0.560848
715.5	1.72818e-11	84.5	1.02813e-13	0.594916
900	2.0344e-12	100	1.19561e-14	0.587697
