#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000112404	5	1.24787e-06	1.11017
56.5	3.77822e-05	6.5	3.69994e-07	0.979282
71	1.21751e-05	8	1.13749e-07	0.934277
89.5	3.76986e-06	10.5	3.266e-08	0.866344
113	1.11045e-06	13	9.2883e-09	0.836442
142	3.21204e-07	16	2.23378e-09	0.69544
179	9.13594e-08	21	5.48209e-10	0.600058
225.5	2.39104e-08	25.5	1.19636e-10	0.500351
283.5	6.32534e-09	32.5	2.97339e-11	0.470076
357	1.5054e-09	41	8.00105e-12	0.531492
449.5	3.35834e-10	51.5	1.96992e-12	0.586578
566	6.60031e-11	65	4.02952e-13	0.610505
715.5	1.09664e-11	84.5	8.15517e-14	0.74365
900	1.40623e-12	100	9.84602e-15	0.700173
