#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000153371	5	6.11122e-07	0.39846
56.5	4.89255e-05	6.5	1.69766e-07	0.346989
71	1.4925e-05	8	4.70682e-08	0.315365
89.5	4.35276e-06	10.5	1.3128e-08	0.301601
113	1.18954e-06	13	3.5384e-09	0.29746
142	3.17284e-07	16	8.72347e-10	0.274942
179	8.01415e-08	21	1.93026e-10	0.240856
225.5	1.88235e-08	25.5	4.01549e-11	0.213323
283.5	4.27024e-09	32.5	8.54405e-12	0.200084
357	8.82035e-10	41	2.21137e-12	0.250712
449.5	1.65116e-10	51.5	4.71054e-13	0.285286
566	2.72851e-11	65	8.7344e-14	0.320116
715.5	3.70127e-12	84.5	1.4363e-14	0.388055
900	3.8891e-13	100	1.63449e-15	0.420276
