#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	8.90082e-05	5	1.05913e-06	1.18992
56.5	3.04548e-05	6.5	3.17331e-07	1.04197
71	1.01023e-05	8	1.08063e-07	1.06969
89.5	3.12381e-06	10.5	3.28712e-08	1.05228
113	9.04639e-07	13	7.93337e-09	0.876966
142	2.6426e-07	16	2.07217e-09	0.78414
179	7.58524e-08	21	4.90832e-10	0.647089
225.5	2.02435e-08	25.5	1.12351e-10	0.554998
283.5	5.4189e-09	32.5	2.80596e-11	0.51781
357	1.32353e-09	41	7.58279e-12	0.57292
449.5	3.07802e-10	51.5	2.09169e-12	0.679557
566	6.37368e-11	65	4.52319e-13	0.709667
715.5	1.12376e-11	84.5	7.98874e-14	0.710894
900	1.59768e-12	100	1.38533e-14	0.867084
