#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.00014058	5	1.543e-06	1.0976
56.5	4.70098e-05	6.5	4.27211e-07	0.90877
71	1.50895e-05	8	1.35119e-07	0.895449
89.5	4.68941e-06	10.5	3.92045e-08	0.836022
113	1.39179e-06	13	1.12063e-08	0.805175
142	3.99058e-07	16	2.8539e-09	0.71516
179	1.11869e-07	21	6.41813e-10	0.573718
225.5	2.96983e-08	25.5	1.53236e-10	0.515976
283.5	7.60573e-09	32.5	3.48068e-11	0.45764
357	1.8114e-09	41	9.47406e-12	0.523026
449.5	3.91629e-10	51.5	2.21735e-12	0.566188
566	7.55768e-11	65	4.45612e-13	0.589615
715.5	1.20882e-11	84.5	7.72994e-14	0.639462
900	1.45161e-12	100	8.78631e-15	0.60528
