#Nt=4, Ns=16, pure SU(3), g^2*a^4*Tr[FF]
#Beta	 TrF3iF3i.Re     TrF4iF4i.Re     TrF3iF3iMinusF4iF4i
5.35 	 8.161519e-01 	 8.161753e-01 	 -2.335971e-05 

5.6 	 7.591609e-01 	 7.590014e-01 	 1.594892e-04 

5.7 	 7.217220e-01 	 7.175322e-01 	 4.189748e-03 

5.72	 7.155971e-01 	 7.098996e-01 	 5.697514e-03 	 

5.79	 7.008478e-01 	 6.935396e-01 	 7.308257e-03 

5.8 	 6.990395e-01 	 6.916262e-01 	 7.413270e-03 

5.9 	 6.832086e-01 	 6.748254e-01 	 8.383176e-03 
 
6.0 	 6.694064e-01 	 6.604114e-01 	 8.994954e-03 

6.2 	 6.451022e-01 	 6.354338e-01 	 9.668426e-03 
 
6.35 	 6.285490e-01 	 6.187830e-01 	 9.765955e-03 

6.5 	 6.132680e-01 	 6.032570e-01 	 1.001100e-02 
 
6.6 	 6.037505e-01 	 5.935222e-01 	 1.022833e-02
