#Nt=16, Ns=16, pure SU(3), g^2*a^4*Tr[FF]
#Beta	 TrF3iF3i.Re     TrF4iF4i.Re     TrF3iF3iMinusF4iF4i

5.35 	 8.161977e-01 	 8.162112e-01 	 -1.343799e-05 

5.6 	 7.592439e-01 	 7.592192e-01 	 2.471988e-05 

5.7 	 7.285390e-01 	 7.285455e-01 	 -6.554597e-06 
 
5.72	7.230057e-01 	 7.230085e-01 	 -2.799147e-06	

5.79	7.059594e-01 	 7.059767e-01 	 -1.722749e-05

5.8 	 7.038593e-01 	 7.038205e-01 	 3.876050e-05 
 
5.9 	 6.847603e-01 	 6.847543e-01 	 5.977379e-06 
 
6.0 	 6.691414e-01 	 6.691142e-01 	 2.714735e-05 

6.2 	 6.429880e-01 	 6.429890e-01 	 -1.016954e-06 

6.35 	 6.258644e-01 	 6.258451e-01 	 1.931000e-05 

6.5 	 6.101860e-01 	 6.101986e-01 	 -1.268465e-05 

6.6 	 6.004330e-01 	 6.004215e-01 	 1.157666e-05
