#Nt=24, Ns=24, pure SU(3), g^2*a^4*Tr[FF]
#Beta	 TrF3iF3i.Re     TrF4iF4i.Re     TrF3iF3iMinusF4iF4i
5.6 	 7.592140e-01 	 7.592356e-01 	 -2.157720e-05 

5.85 	 6.937467e-01 	 6.937396e-01 	 7.111679e-06 

5.9 	 6.847794e-01 	 6.847597e-01 	 1.977181e-05 

5.925	 6.806142e-01 	 6.806222e-01 	 -7.951731e-06 

6.0 	 6.691256e-01 	 6.690996e-01 	 2.600003e-05

6.015	 6.669614e-01 	 6.669611e-01 	 2.981314e-07 

6.1 	 6.554120e-01 	 6.554316e-01 	 -1.958307e-05

6.25 	 6.371091e-01 	 6.371275e-01    -1.848151e-05

6.45 	 6.153985e-01 	 6.154220e-01 	 -2.348764e-05 

6.6 	 6.005033e-01 	 6.005268e-01 	 -2.349108e-05 

6.75	 5.865595E-01    5.86571E-01	 -1.149999e-05

6.85 	 5.777464E-01	 5.777371E-01	 0.00000929999
