#HadronpT 	DifferentialYieldORCrossSection 	JetpTBinWidth/2.0 	DCSorYieldError 	DCSorYieldErr%
0.55	6.19289	0.05	0.0237696	0.383821
0.65	3.88481	0.05	0.0170492	0.438868
0.75	2.46449	0.05	0.0124592	0.505549
0.85	1.5738	0.05	0.00909381	0.577825
0.95	1.03079	0.05	0.00680041	0.659728
1.05	0.676608	0.05	0.00503323	0.743892
1.15	0.470669	0.05	0.00390629	0.829944
1.3	0.283853	0.1	0.00195311	0.688069
1.5	0.151042	0.1	0.00125003	0.827608
1.7	0.0822179	0.1	0.000795377	0.967402
1.9	0.0483472	0.1	0.000558673	1.15554
2.1	0.0283155	0.1	0.000373128	1.31775
2.3	0.0170658	0.1	0.000249998	1.46491
2.8	0.0061388	0.4	6.28388e-05	1.02363
3.6	0.00130768	0.4	1.90594e-05	1.4575
4.4	0.000347459	0.4	6.8427e-06	1.96936
5.2	0.000110626	0.4	2.8936e-06	2.61567
6	4.12599e-05	0.4	1.18631e-06	2.87521
6.8	1.75179e-05	0.4	5.06492e-07	2.89129
8.4	4.78939e-06	1.2	1.10953e-07	2.31665
10.8	8.49851e-07	1.2	1.82462e-08	2.14698
13.2	2.57283e-07	1.2	1.03591e-08	4.02637
16.8	5.51154e-08	2.4	8.78898e-10	1.59465
21.6	1.12557e-08	2.4	2.15949e-10	1.91857
26.4	3.3258e-09	2.4	8.10137e-11	2.43591
32	1.02234e-09	3.2	2.76602e-11	2.70558
38.4	3.10272e-10	3.2	8.22283e-12	2.6502
44.8	1.19559e-10	3.2	2.96747e-12	2.48201
54.4	3.43845e-11	6.4	5.41221e-13	1.57403
67.2	8.59478e-12	6.4	1.70249e-13	1.98085
80	2.71304e-12	6.4	5.71275e-14	2.10567
95	8.79198e-13	8.6	1.62389e-14	1.84701
112.2	2.89242e-13	8.6	5.55605e-15	1.9209
130.4	1.04856e-13	9.6	2.01458e-15	1.92128
152.5	3.47568e-14	12.5	5.83584e-16	1.67905
207.5	5.22026e-15	42.5	6.02466e-17	1.15409
325	1.96912e-16	75	2.6793e-18	1.36066
