#HadronpT 	DifferentialYieldORCrossSection 	JetpTBinWidth/2.0 	DCSorYieldError 	DCSorYieldErr%
0.55	6.9102	0.05	0.0246496	0.356713
0.65	4.2995	0.05	0.0176185	0.40978
0.75	2.65684	0.05	0.0126863	0.477497
0.85	1.64865	0.05	0.00919218	0.557557
0.95	1.04398	0.05	0.00673538	0.645164
1.05	0.670557	0.05	0.00502036	0.748685
1.15	0.437685	0.05	0.00373692	0.853792
1.3	0.244884	0.1	0.00178285	0.728041
1.5	0.121098	0.1	0.00112262	0.927039
1.7	0.0617189	0.1	0.000712503	1.15443
1.9	0.0329565	0.1	0.000463147	1.40533
2.1	0.0190536	0.1	0.000330046	1.7322
2.3	0.0108946	0.1	0.000226927	2.08294
2.8	0.00350646	0.4	5.2181e-05	1.48814
3.6	0.000640319	0.4	1.41561e-05	2.21079
4.4	0.000157428	0.4	4.80138e-06	3.0499
5.2	5.0621e-05	0.4	1.63356e-06	3.22703
6	1.99023e-05	0.4	6.76096e-07	3.39707
6.8	9.07567e-06	0.4	5.72029e-07	6.30289
8.4	2.4544e-06	1.2	8.47079e-08	3.45126
10.8	4.89267e-07	1.2	1.90478e-08	3.89313
13.2	1.35459e-07	1.2	3.59595e-09	2.65463
16.8	3.36977e-08	2.4	7.94043e-10	2.35637
21.6	6.81558e-09	2.4	1.99515e-10	2.92734
26.4	1.97699e-09	2.4	5.69387e-11	2.88008
32	5.68756e-10	3.2	1.42946e-11	2.51331
38.4	1.88645e-10	3.2	6.59222e-12	3.49451
44.8	6.92464e-11	3.2	1.75247e-12	2.53078
54.4	2.08023e-11	6.4	4.22562e-13	2.03132
67.2	5.63505e-12	6.4	1.87922e-13	3.33488
80	1.65355e-12	6.4	3.84881e-14	2.32761
95	5.29805e-13	8.6	1.4298e-14	2.69873
112.2	1.85335e-13	8.6	4.66433e-15	2.5167
130.4	6.64009e-14	9.6	1.3046e-15	1.96473
152.5	2.29366e-14	12.5	4.35266e-16	1.89769
207.5	3.34533e-15	42.5	4.24889e-17	1.2701
325	1.17524e-16	75	1.75746e-18	1.49541
