#HadronpT 	DifferentialYieldORCrossSection 	JetpTBinWidth/2.0 	DCSorYieldError 	DCSorYieldErr%
0.55	6.48422	0.05	0.024082	0.371394
0.65	4.09858	0.05	0.017358	0.423514
0.75	2.52874	0.05	0.0124034	0.490497
0.85	1.60851	0.05	0.00911042	0.566389
0.95	1.03074	0.05	0.00671735	0.651702
1.05	0.684224	0.05	0.00508001	0.742448
1.15	0.458165	0.05	0.00385096	0.840518
1.3	0.268515	0.1	0.00188836	0.70326
1.5	0.134527	0.1	0.00117489	0.873348
1.7	0.0734652	0.1	0.00077455	1.05431
1.9	0.039963	0.1	0.000505915	1.26596
2.1	0.0231065	0.1	0.000353011	1.52776
2.3	0.0134157	0.1	0.000237421	1.76972
2.8	0.00451431	0.4	5.50126e-05	1.21863
3.6	0.000845605	0.4	1.50436e-05	1.77903
4.4	0.000220167	0.4	5.20191e-06	2.36271
5.2	6.66932e-05	0.4	1.68889e-06	2.53233
6	2.56458e-05	0.4	7.39567e-07	2.88378
6.8	1.09879e-05	0.4	3.99651e-07	3.63718
8.4	3.2634e-06	1.2	1.47013e-07	4.50491
10.8	5.82021e-07	1.2	1.24875e-08	2.14554
13.2	1.73664e-07	1.2	4.68247e-09	2.69628
16.8	4.21388e-08	2.4	8.21653e-10	1.94987
21.6	8.46481e-09	2.4	1.89724e-10	2.24133
26.4	2.424e-09	2.4	6.56141e-11	2.70685
32	7.59321e-10	3.2	1.95127e-11	2.56976
38.4	2.40845e-10	3.2	6.05511e-12	2.51411
44.8	8.74841e-11	3.2	2.29584e-12	2.62429
54.4	2.61143e-11	6.4	5.03834e-13	1.92934
67.2	6.66226e-12	6.4	1.68533e-13	2.52966
80	2.21144e-12	6.4	6.25134e-14	2.82682
95	7.33491e-13	8.6	1.64611e-14	2.24422
112.2	2.28866e-13	8.6	4.55101e-15	1.9885
130.4	8.17598e-14	9.6	1.83859e-15	2.24877
152.5	2.7023e-14	12.5	4.47045e-16	1.65431
207.5	4.01382e-15	42.5	4.84819e-17	1.20787
325	1.49231e-16	75	2.17709e-18	1.45887
