#for Full QCD  #JHEP 1011 (2010) 077  
#T(MeV)				S/T^3 (entropy density)
120.09889272026979              1.3386263535154797
130.46826535433516              2.3887730088125423
141.73932256527576              3.5302367645702226
149.2390026712392              4.42833183277957
153.4258055791504              5.055586507117518
159.70026672715173              6.05131621103947
166.87832685665012              7.120080451283695
177.68041874873325              8.388960597320693
188.82174313980212              9.318971981250076
196.06576514410332              9.757800317127684
212.9473718476836              10.983346077494941
230.1844970257294              11.714492009923164
239.63244848288983              12.240205751498756
263.7567147313781              13.088790876889597
283.75458541086607              13.562031699402468
304.48994276293877              13.954198646426661
323.7717913065109              14.303527019240743
343.7864855417664              14.616102884174254
363.6157339151712              14.76581899431046
403.8540052010847              15.330007572553876
423.87914164336826              15.542860360369161
463.93950866139585              15.872166961452116
483.98309300276236              15.908842313025207
504.01391464665005              16.06740142552057
524.0706329639675              15.978647306762738
544.1106205451355              16.049671718232105
584.1872077914134              16.22407513952475
604.2299103464085              16.26917155094338
644.3096070498904              16.413879655938597
684.3937590950375              16.516039248030044
724.4848726115367              16.551716788709335
764.5583504006106              16.755815526299408
804.6582817808223              16.707282468523317
844.7360756821347              16.870162334237857
864.7857198185638              16.848966642962658
884.8346412879669              16.834672421786433
924.9132904557595              16.989384492613194
944.9617710319769              16.979300801359738
965.0046360213038              17.022845964912083
985.0482203626702              17.059521316485174
996.8888709608623              17.112570628800917
