#Tc=265 MeV,	#Lect.Notes Phys. 583 (2002) 209-249 #Nucl.Phys. B469 (1996) 419-444
#T/Tc			(3/4)*S/T^3 (entropy density)
0.9360266037158188	0.018381021188853097
0.9922593822008089	0.899968951145822
0.996424773199697	1.0908467579821428
1.0016315119483072	1.2734926378389995
1.0072547897968063	1.457887802178993
1.021000580093137	1.7180166947300544
1.02349981469247	1.903235051767993
1.0391200309383006	2.0920548768594482
1.0594263120578804	2.286019656313068
1.0672364201807958	2.525774529589956
1.1547096311574467	2.9034141797728656
1.1921981501474401	3.060849783255114
1.2371843729354324	3.203467918174327
1.3662519883152666	3.516398742350807
1.4367661073678732	3.6760393262739837
1.5215615669880966	3.8250960040807063
1.5972824247893134	3.936521015695593
1.669730475377118	4.031482173351553
1.7456000971425807	4.1143894379304395
1.8128414089817753	4.177304879844915
1.8815703604634297	4.230812405211431
1.9553572867294484	4.263446115737162
2.0190282634267387	4.304899748026606
2.087757214908393	4.350175346413658
2.1564861663900476	4.381045072586648
2.2252151178717026	4.409856817014772
2.285613287355581	4.428378652718566
2.3574662820864014	4.453074433656957
2.4136990605713917	4.465422324126154
2.5655021834061134	4.5210355987055015
2.7423580786026203	4.572815533980582
2.9912663755458513	4.598705501618122
3.1715919528190915	4.654345048304852
3.2428201389000786	4.65990159901599
3.310299473082067	4.675336462102485
3.3771539986142214	4.673484278532105
3.447757376045376	4.671968855610886
3.6533194218405063	4.672866884008646
3.8566599257695633	4.6787664316772615
3.9288600364169577	4.698909707543677
3.997588987898612	4.7000322430408765
4.060069852881934	4.707749674584124
4.135046890861921	4.700593510789476
4.203775842343576 	4.7022773140352765
4.247512447831901 	4.712380133510073
4.3412337453068846	 4.714625204504472
4.404755958039929  	 4.7185540787446705
