#HISQ entropy density, nf=3; s/T^3
#T(MeV) I dI P dP E dE S dS CV dCV cs dcs
8.600e+02 3.3273e-01 2.2346e-02 4.0401e+00 6.0558e-02 1.2453e+01 1.8204e-01 1.6493e+01 2.4226e-01 5.0010e+01 7.2337e-01 3.2980e-01 2.4712e-03
8.650e+02 3.2813e-01 2.2343e-02 4.0420e+00 6.0552e-02 1.2454e+01 1.8196e-01 1.6496e+01 2.4217e-01 5.0013e+01 7.2302e-01 3.2984e-01 2.4376e-03
8.700e+02 3.2362e-01 2.2317e-02 4.0439e+00 6.0545e-02 1.2455e+01 1.8188e-01 1.6499e+01 2.4208e-01 5.0017e+01 7.2273e-01 3.2987e-01 2.4062e-03
8.750e+02 3.1922e-01 2.2266e-02 4.0457e+00 6.0538e-02 1.2456e+01 1.8180e-01 1.6502e+01 2.4200e-01 5.0021e+01 7.2250e-01 3.2991e-01 2.3771e-03
8.800e+02 3.1491e-01 2.2193e-02 4.0475e+00 6.0532e-02 1.2457e+01 1.8173e-01 1.6505e+01 2.4192e-01 5.0025e+01 7.2235e-01 3.2994e-01 2.3503e-03
8.850e+02 3.1069e-01 2.2096e-02 4.0493e+00 6.0521e-02 1.2459e+01 1.8165e-01 1.6508e+01 2.4184e-01 5.0029e+01 7.2229e-01 3.2997e-01 2.3259e-03
8.900e+02 3.0658e-01 2.1976e-02 4.0510e+00 6.0518e-02 1.2460e+01 1.8160e-01 1.6511e+01 2.4178e-01 5.0034e+01 7.2229e-01 3.2999e-01 2.3039e-03
8.950e+02 3.0255e-01 2.1836e-02 4.0527e+00 6.0510e-02 1.2461e+01 1.8153e-01 1.6514e+01 2.4171e-01 5.0038e+01 7.2238e-01 3.3002e-01 2.2842e-03
9.000e+02 2.9862e-01 2.1674e-02 4.0544e+00 6.0501e-02 1.2462e+01 1.8147e-01 1.6516e+01 2.4165e-01 5.0044e+01 7.2258e-01 3.3004e-01 2.2669e-03
9.050e+02 2.9477e-01 2.1494e-02 4.0561e+00 6.0495e-02 1.2463e+01 1.8142e-01 1.6519e+01 2.4159e-01 5.0049e+01 7.2283e-01 3.3006e-01 2.2519e-03
9.100e+02 2.9102e-01 2.1296e-02 4.0577e+00 6.0488e-02 1.2464e+01 1.8137e-01 1.6522e+01 2.4154e-01 5.0054e+01 7.2320e-01 3.3008e-01 2.2392e-03
9.150e+02 2.8735e-01 2.1081e-02 4.0593e+00 6.0480e-02 1.2465e+01 1.8132e-01 1.6524e+01 2.4149e-01 5.0059e+01 7.2366e-01 3.3010e-01 2.2288e-03
9.200e+02 2.8377e-01 2.0851e-02 4.0608e+00 6.0473e-02 1.2466e+01 1.8127e-01 1.6527e+01 2.4145e-01 5.0065e+01 7.2421e-01 3.3011e-01 2.2206e-03
9.250e+02 2.8028e-01 2.0608e-02 4.0623e+00 6.0466e-02 1.2467e+01 1.8123e-01 1.6530e+01 2.4140e-01 5.0071e+01 7.2486e-01 3.3012e-01 2.2145e-03
9.300e+02 2.7687e-01 2.0354e-02 4.0638e+00 6.0459e-02 1.2468e+01 1.8119e-01 1.6532e+01 2.4136e-01 5.0077e+01 7.2561e-01 3.3014e-01 2.2106e-03
9.350e+02 2.7354e-01 2.0090e-02 4.0653e+00 6.0451e-02 1.2469e+01 1.8115e-01 1.6535e+01 2.4132e-01 5.0083e+01 7.2645e-01 3.3015e-01 2.2086e-03
9.400e+02 2.7029e-01 1.9818e-02 4.0668e+00 6.0445e-02 1.2471e+01 1.8112e-01 1.6537e+01 2.4129e-01 5.0090e+01 7.2739e-01 3.3015e-01 2.2086e-03
9.450e+02 2.6712e-01 1.9541e-02 4.0682e+00 6.0438e-02 1.2472e+01 1.8109e-01 1.6540e+01 2.4126e-01 5.0096e+01 7.2842e-01 3.3016e-01 2.2103e-03
9.500e+02 2.6403e-01 1.9261e-02 4.0696e+00 6.0431e-02 1.2473e+01 1.8106e-01 1.6542e+01 2.4124e-01 5.0103e+01 7.2954e-01 3.3017e-01 2.2138e-03
9.550e+02 2.6101e-01 1.8981e-02 4.0710e+00 6.0425e-02 1.2474e+01 1.8104e-01 1.6545e+01 2.4122e-01 5.0110e+01 7.3074e-01 3.3017e-01 2.2188e-03
9.600e+02 2.5807e-01 1.8701e-02 4.0723e+00 6.0418e-02 1.2475e+01 1.8102e-01 1.6547e+01 2.4120e-01 5.0117e+01 7.3204e-01 3.3018e-01 2.2253e-03
9.650e+02 2.5521e-01 1.8426e-02 4.0737e+00 6.0412e-02 1.2476e+01 1.8101e-01 1.6550e+01 2.4119e-01 5.0124e+01 7.3340e-01 3.3018e-01 2.2332e-03
9.700e+02 2.5241e-01 1.8157e-02 4.0750e+00 6.0407e-02 1.2477e+01 1.8100e-01 1.6552e+01 2.4118e-01 5.0132e+01 7.3486e-01 3.3018e-01 2.2423e-03
9.750e+02 2.4969e-01 1.7896e-02 4.0763e+00 6.0401e-02 1.2478e+01 1.8100e-01 1.6555e+01 2.4117e-01 5.0139e+01 7.3637e-01 3.3018e-01 2.2525e-03
9.800e+02 2.4704e-01 1.7647e-02 4.0775e+00 6.0394e-02 1.2480e+01 1.8099e-01 1.6557e+01 2.4117e-01 5.0147e+01 7.3795e-01 3.3018e-01 2.2636e-03
9.850e+02 2.4446e-01 1.7413e-02 4.0788e+00 6.0391e-02 1.2481e+01 1.8100e-01 1.6560e+01 2.4118e-01 5.0154e+01 7.3961e-01 3.3017e-01 2.2756e-03
9.900e+02 2.4194e-01 1.7194e-02 4.0800e+00 6.0385e-02 1.2482e+01 1.8101e-01 1.6562e+01 2.4119e-01 5.0162e+01 7.4129e-01 3.3017e-01 2.2883e-03
9.950e+02 2.3949e-01 1.6994e-02 4.0812e+00 6.0367e-02 1.2483e+01 1.8098e-01 1.6564e+01 2.4115e-01 5.0170e+01 7.4287e-01 3.3017e-01 2.3015e-03
1.000e+03 2.3711e-01 1.6815e-02 4.0824e+00 6.0376e-02 1.2484e+01 1.8104e-01 1.6567e+01 2.4122e-01 5.0178e+01 7.4480e-01 3.3016e-01 2.3152e-03
1.005e+03 2.3478e-01 1.6659e-02 4.0836e+00 6.0368e-02 1.2486e+01 1.8105e-01 1.6569e+01 2.4123e-01 5.0186e+01 7.4653e-01 3.3016e-01 2.3292e-03
1.010e+03 2.3252e-01 1.6528e-02 4.0848e+00 6.0368e-02 1.2487e+01 1.8109e-01 1.6572e+01 2.4127e-01 5.0194e+01 7.4844e-01 3.3015e-01 2.3433e-03
1.015e+03 2.3032e-01 1.6423e-02 4.0859e+00 6.0364e-02 1.2488e+01 1.8112e-01 1.6574e+01 2.4130e-01 5.0202e+01 7.5027e-01 3.3015e-01 2.3576e-03
1.020e+03 2.2818e-01 1.6346e-02 4.0870e+00 6.0360e-02 1.2489e+01 1.8116e-01 1.6576e+01 2.4134e-01 5.0211e+01 7.5212e-01 3.3014e-01 2.3718e-03
1.025e+03 2.2610e-01 1.6297e-02 4.0881e+00 6.0358e-02 1.2491e+01 1.8121e-01 1.6579e+01 2.4138e-01 5.0219e+01 7.5396e-01 3.3013e-01 2.3858e-03
1.030e+03 2.2407e-01 1.6277e-02 4.0892e+00 6.0355e-02 1.2492e+01 1.8126e-01 1.6581e+01 2.4143e-01 5.0227e+01 7.5578e-01 3.3012e-01 2.3995e-03
1.035e+03 2.2210e-01 1.6287e-02 4.0903e+00 6.0353e-02 1.2493e+01 1.8131e-01 1.6583e+01 2.4148e-01 5.0236e+01 7.5758e-01 3.3012e-01 2.4129e-03
1.040e+03 2.2018e-01 1.6325e-02 4.0914e+00 6.0350e-02 1.2494e+01 1.8137e-01 1.6586e+01 2.4153e-01 5.0244e+01 7.5934e-01 3.3011e-01 2.4257e-03
1.045e+03 2.1831e-01 1.6392e-02 4.0924e+00 6.0348e-02 1.2496e+01 1.8143e-01 1.6588e+01 2.4160e-01 5.0253e+01 7.6106e-01 3.3010e-01 2.4380e-03
1.050e+03 2.1650e-01 1.6486e-02 4.0935e+00 6.0347e-02 1.2497e+01 1.8150e-01 1.6590e+01 2.4166e-01 5.0261e+01 7.6274e-01 3.3009e-01 2.4496e-03
1.055e+03 2.1473e-01 1.6607e-02 4.0945e+00 6.0347e-02 1.2498e+01 1.8158e-01 1.6593e+01 2.4174e-01 5.0269e+01 7.6437e-01 3.3008e-01 2.4605e-03
1.060e+03 2.1301e-01 1.6752e-02 4.0955e+00 6.0349e-02 1.2500e+01 1.8167e-01 1.6595e+01 2.4182e-01 5.0278e+01 7.6595e-01 3.3007e-01 2.4704e-03
1.065e+03 2.1134e-01 1.6919e-02 4.0965e+00 6.0344e-02 1.2501e+01 1.8174e-01 1.6597e+01 2.4188e-01 5.0286e+01 7.6735e-01 3.3006e-01 2.4795e-03
1.070e+03 2.0972e-01 1.7107e-02 4.0975e+00 6.0344e-02 1.2502e+01 1.8183e-01 1.6600e+01 2.4197e-01 5.0295e+01 7.6872e-01 3.3005e-01 2.4876e-03
1.075e+03 2.0813e-01 1.7313e-02 4.0985e+00 6.0344e-02 1.2504e+01 1.8192e-01 1.6602e+01 2.4205e-01 5.0303e+01 7.6999e-01 3.3005e-01 2.4945e-03
1.080e+03 2.0659e-01 1.7535e-02 4.0994e+00 6.0344e-02 1.2505e+01 1.8201e-01 1.6604e+01 2.4214e-01 5.0311e+01 7.7116e-01 3.3004e-01 2.5004e-03
1.085e+03 2.0510e-01 1.7770e-02 4.1004e+00 6.0340e-02 1.2506e+01 1.8210e-01 1.6607e+01 2.4223e-01 5.0320e+01 7.7220e-01 3.3003e-01 2.5051e-03
1.090e+03 2.0364e-01 1.8016e-02 4.1013e+00 6.0346e-02 1.2508e+01 1.8221e-01 1.6609e+01 2.4234e-01 5.0328e+01 7.7315e-01 3.3002e-01 2.5085e-03
1.095e+03 2.0222e-01 1.8270e-02 4.1022e+00 6.0348e-02 1.2509e+01 1.8232e-01 1.6611e+01 2.4244e-01 5.0336e+01 7.7395e-01 3.3001e-01 2.5107e-03
1.100e+03 2.0084e-01 1.8529e-02 4.1032e+00 6.0349e-02 1.2510e+01 1.8242e-01 1.6613e+01 2.4254e-01 5.0344e+01 7.7460e-01 3.3001e-01 2.5116e-03
1.105e+03 1.9949e-01 1.8791e-02 4.1041e+00 6.0352e-02 1.2512e+01 1.8253e-01 1.6616e+01 2.4264e-01 5.0352e+01 7.7514e-01 3.3000e-01 2.5111e-03
1.110e+03 1.9818e-01 1.9054e-02 4.1050e+00 6.0355e-02 1.2513e+01 1.8264e-01 1.6618e+01 2.4275e-01 5.0360e+01 7.7552e-01 3.3000e-01 2.5093e-03
1.115e+03 1.9690e-01 1.9314e-02 4.1058e+00 6.0351e-02 1.2514e+01 1.8273e-01 1.6620e+01 2.4283e-01 5.0367e+01 7.7561e-01 3.2999e-01 2.5062e-03
1.120e+03 1.9565e-01 1.9569e-02 4.1067e+00 6.0358e-02 1.2516e+01 1.8286e-01 1.6623e+01 2.4296e-01 5.0375e+01 7.7578e-01 3.2999e-01 2.5016e-03
1.125e+03 1.9444e-01 1.9818e-02 4.1076e+00 6.0363e-02 1.2517e+01 1.8298e-01 1.6625e+01 2.4307e-01 5.0382e+01 7.7572e-01 3.2998e-01 2.4958e-03
1.130e+03 1.9325e-01 2.0058e-02 4.1085e+00 6.0368e-02 1.2519e+01 1.8309e-01 1.6627e+01 2.4319e-01 5.0389e+01 7.7550e-01 3.2998e-01 2.4886e-03
1.135e+03 1.9209e-01 2.0286e-02 4.1093e+00 6.0371e-02 1.2520e+01 1.8320e-01 1.6629e+01 2.4329e-01 5.0396e+01 7.7506e-01 3.2998e-01 2.4802e-03
1.140e+03 1.9096e-01 2.0501e-02 4.1102e+00 6.0376e-02 1.2521e+01 1.8331e-01 1.6632e+01 2.4340e-01 5.0403e+01 7.7451e-01 3.2998e-01 2.4705e-03
1.145e+03 1.8985e-01 2.0700e-02 4.1110e+00 6.0380e-02 1.2523e+01 1.8342e-01 1.6634e+01 2.4351e-01 5.0410e+01 7.7378e-01 3.2998e-01 2.4597e-03
1.150e+03 1.8877e-01 2.0882e-02 4.1118e+00 6.0385e-02 1.2524e+01 1.8352e-01 1.6636e+01 2.4361e-01 5.0416e+01 7.7291e-01 3.2998e-01 2.4478e-03
1.155e+03 1.8770e-01 2.1045e-02 4.1126e+00 6.0390e-02 1.2526e+01 1.8362e-01 1.6638e+01 2.4371e-01 5.0423e+01 7.7189e-01 3.2998e-01 2.4350e-03
1.160e+03 1.8666e-01 2.1187e-02 4.1134e+00 6.0395e-02 1.2527e+01 1.8372e-01 1.6640e+01 2.4381e-01 5.0429e+01 7.7073e-01 3.2998e-01 2.4213e-03
1.165e+03 1.8564e-01 2.1307e-02 4.1142e+00 6.0402e-02 1.2528e+01 1.8381e-01 1.6643e+01 2.4391e-01 5.0434e+01 7.6945e-01 3.2999e-01 2.4070e-03
1.170e+03 1.8464e-01 2.1404e-02 4.1150e+00 6.0407e-02 1.2530e+01 1.8390e-01 1.6645e+01 2.4400e-01 5.0440e+01 7.6804e-01 3.3000e-01 2.3921e-03
1.175e+03 1.8365e-01 2.1475e-02 4.1158e+00 6.0407e-02 1.2531e+01 1.8396e-01 1.6647e+01 2.4406e-01 5.0445e+01 7.6640e-01 3.3000e-01 2.3770e-03
1.180e+03 1.8268e-01 2.1519e-02 4.1166e+00 6.0420e-02 1.2532e+01 1.8406e-01 1.6649e+01 2.4417e-01 5.0450e+01 7.6497e-01 3.3001e-01 2.3617e-03
1.185e+03 1.8172e-01 2.1536e-02 4.1174e+00 6.0427e-02 1.2534e+01 1.8413e-01 1.6651e+01 2.4425e-01 5.0455e+01 7.6331e-01 3.3002e-01 2.3467e-03
1.190e+03 1.8078e-01 2.1525e-02 4.1181e+00 6.0434e-02 1.2535e+01 1.8419e-01 1.6653e+01 2.4432e-01 5.0460e+01 7.6163e-01 3.3004e-01 2.3322e-03
1.195e+03 1.7985e-01 2.1485e-02 4.1189e+00 6.0441e-02 1.2536e+01 1.8425e-01 1.6655e+01 2.4438e-01 5.0464e+01 7.5992e-01 3.3005e-01 2.3185e-03
1.200e+03 1.7892e-01 2.1415e-02 4.1194e+00 6.0654e-02 1.2537e+01 1.8489e-01 1.6657e+01 2.4523e-01 5.0465e+01 7.6082e-01 3.3007e-01 2.3062e-03
1.205e+03 1.7801e-01 2.1314e-02 4.1204e+00 6.0454e-02 1.2539e+01 1.8433e-01 1.6660e+01 2.4448e-01 5.0471e+01 7.5655e-01 3.3008e-01 2.2953e-03
1.210e+03 1.7710e-01 2.1183e-02 4.1211e+00 6.0463e-02 1.2540e+01 1.8437e-01 1.6662e+01 2.4453e-01 5.0474e+01 7.5498e-01 3.3010e-01 2.2866e-03
1.215e+03 1.7620e-01 2.1022e-02 4.1218e+00 6.0470e-02 1.2542e+01 1.8439e-01 1.6664e+01 2.4456e-01 5.0477e+01 7.5356e-01 3.3012e-01 2.2805e-03
1.220e+03 1.7530e-01 2.0832e-02 4.1226e+00 6.0477e-02 1.2543e+01 1.8440e-01 1.6666e+01 2.4459e-01 5.0480e+01 7.5228e-01 3.3015e-01 2.2775e-03
1.225e+03 1.7441e-01 2.0612e-02 4.1233e+00 6.0503e-02 1.2544e+01 1.8445e-01 1.6668e+01 2.4467e-01 5.0482e+01 7.5134e-01 3.3017e-01 2.2781e-03
1.230e+03 1.7352e-01 2.0365e-02 4.1240e+00 6.0492e-02 1.2545e+01 1.8439e-01 1.6669e+01 2.4461e-01 5.0483e+01 7.5044e-01 3.3020e-01 2.2831e-03
1.235e+03 1.7263e-01 2.0092e-02 4.1247e+00 6.0499e-02 1.2547e+01 1.8437e-01 1.6671e+01 2.4460e-01 5.0485e+01 7.4998e-01 3.3023e-01 2.2929e-03
1.240e+03 1.7174e-01 1.9795e-02 4.1254e+00 6.0506e-02 1.2548e+01 1.8434e-01 1.6673e+01 2.4459e-01 5.0485e+01 7.4991e-01 3.3026e-01 2.3081e-03
1.245e+03 1.7084e-01 1.9478e-02 4.1261e+00 6.0513e-02 1.2549e+01 1.8431e-01 1.6675e+01 2.4457e-01 5.0486e+01 7.5031e-01 3.3030e-01 2.3294e-03
1.250e+03 1.6995e-01 1.9145e-02 4.1268e+00 6.0520e-02 1.2550e+01 1.8426e-01 1.6677e+01 2.4453e-01 5.0486e+01 7.5123e-01 3.3033e-01 2.3574e-03
1.255e+03 1.6904e-01 1.8800e-02 4.1275e+00 6.0524e-02 1.2551e+01 1.8418e-01 1.6679e+01 2.4446e-01 5.0486e+01 7.5248e-01 3.3037e-01 2.3925e-03
1.260e+03 1.6813e-01 1.8451e-02 4.1281e+00 6.0533e-02 1.2552e+01 1.8413e-01 1.6681e+01 2.4443e-01 5.0484e+01 7.5497e-01 3.3042e-01 2.4354e-03
1.265e+03 1.6722e-01 1.8104e-02 4.1288e+00 6.0540e-02 1.2554e+01 1.8405e-01 1.6682e+01 2.4437e-01 5.0483e+01 7.5796e-01 3.3046e-01 2.4864e-03
1.270e+03 1.6629e-01 1.7770e-02 4.1294e+00 6.0542e-02 1.2555e+01 1.8396e-01 1.6684e+01 2.4429e-01 5.0481e+01 7.6176e-01 3.3051e-01 2.5459e-03
1.275e+03 1.6536e-01 1.7458e-02 4.1301e+00 6.0551e-02 1.2556e+01 1.8387e-01 1.6686e+01 2.4422e-01 5.0478e+01 7.6655e-01 3.3056e-01 2.6142e-03
1.280e+03 1.6441e-01 1.7182e-02 4.1307e+00 6.0557e-02 1.2557e+01 1.8377e-01 1.6687e+01 2.4413e-01 5.0475e+01 7.7234e-01 3.3061e-01 2.6917e-03
1.285e+03 1.6345e-01 1.6957e-02 4.1314e+00 6.0562e-02 1.2558e+01 1.8367e-01 1.6689e+01 2.4403e-01 5.0472e+01 7.7924e-01 3.3067e-01 2.7784e-03
1.290e+03 1.6247e-01 1.6799e-02 4.1320e+00 6.0566e-02 1.2558e+01 1.8355e-01 1.6690e+01 2.4393e-01 5.0468e+01 7.8734e-01 3.3073e-01 2.8746e-03
1.295e+03 1.6148e-01 1.6727e-02 4.1326e+00 6.0570e-02 1.2559e+01 1.8344e-01 1.6692e+01 2.4382e-01 5.0463e+01 7.9672e-01 3.3079e-01 2.9803e-03
1.300e+03 1.6047e-01 1.6757e-02 4.1332e+00 6.0573e-02 1.2560e+01 1.8332e-01 1.6693e+01 2.4371e-01 5.0458e+01 8.0746e-01 3.3086e-01 3.0956e-03
1.305e+03 1.5944e-01 1.6909e-02 4.1339e+00 6.0576e-02 1.2561e+01 1.8321e-01 1.6695e+01 2.4359e-01 5.0452e+01 8.1965e-01 3.3093e-01 3.2204e-03
1.310e+03 1.5840e-01 1.7198e-02 4.1345e+00 6.0579e-02 1.2562e+01 1.8309e-01 1.6696e+01 2.4347e-01 5.0445e+01 8.3335e-01 3.3100e-01 3.3547e-03
1.315e+03 1.5733e-01 1.7639e-02 4.1351e+00 6.0581e-02 1.2563e+01 1.8298e-01 1.6698e+01 2.4335e-01 5.0438e+01 8.4863e-01 3.3108e-01 3.4985e-03
1.320e+03 1.5624e-01 1.8243e-02 4.1357e+00 6.0592e-02 1.2563e+01 1.8288e-01 1.6699e+01 2.4325e-01 5.0431e+01 8.6483e-01 3.3116e-01 3.6515e-03
1.325e+03 1.5512e-01 1.9016e-02 4.1362e+00 6.0582e-02 1.2564e+01 1.8278e-01 1.6700e+01 2.4312e-01 5.0422e+01 8.8419e-01 3.3124e-01 3.8142e-03
1.330e+03 1.5398e-01 1.9962e-02 4.1368e+00 6.0582e-02 1.2564e+01 1.8270e-01 1.6701e+01 2.4301e-01 5.0413e+01 9.0456e-01 3.3133e-01 3.9859e-03
